scenario,scenario_label,domain,metric,label,unit,year_2010,base_year,target_year,value_2010,value_base,value_2050,growth_2010_to_base_pct,growth_2010_to_2050_pct,growth_base_to_2050_pct,data_type_2010,data_type_base,data_type_2050,source_id,note
cagr_trend_2000_base_year,Tendance CAGR,Transports publics,operating_expenses,Charges d’exploitation TPG,M CHF,2010,2024,2050,354.89,551.98,1383.04,55.54,289.71,150.56,observed,observed,estimated,tpg_annual_reports_finance,Charges d’exploitation selon comptes de résultat TPG; 2050 = tendance coût ajustée par l’écart de tension vs tendance actuelle.
recent_trend_2015_base_year,Tendance récente,Démographie,population,Population résidante,habitants,2010,2024,2050,453292,524410,660260,15.69,45.66,25.91,observed,observed,estimated,ocstat_geneva_population,Population observée puis scénario 2050.
recent_trend_2015_base_year,Tendance récente,Démographie,annual_growth,Croissance annuelle,habitants/an,2010,2024,2050,7186,10296,5225,43.28,-27.29,-49.25,observed,observed,estimated,ocstat_geneva_population,Variation annuelle observée; 2050 correspond à la croissance annuelle du scénario.
recent_trend_2015_base_year,Tendance récente,Démographie,population_growth_cumulative,Croissance cumulée population,%,2010,2024,2050,0,15.69,45.66,15.69,45.66,29.97,observed,observed,estimated,ocstat_geneva_population,"Croissance réelle cumulée depuis 2010: 2010 = 0 %, base observée puis projection 2050 selon le scénario."
recent_trend_2015_base_year,Tendance récente,Économie,gdp,PIB cantonal,M CHF,2010,2024,2050,48388.04695,62877,102270.11,29.94,111.35,62.65,observed,observed,estimated,bfs_ocstat_geneva_gdp,PIB cantonal; 2050 estimé par CAGR 2010-base si la série est fournie.
recent_trend_2015_base_year,Tendance récente,Logement,housing_stock,Logements totaux,logements,2010,2024,2050,215840.18,251810,316501,16.67,46.64,25.69,estimated,observed,estimated,ocstat_geneva_housing,"Stock observé depuis la première année disponible; 2010 est une estimation extrapolée linéairement pour afficher la croissance cumulée, 2050 = stock base + besoin additionnel du scénario."
recent_trend_2015_base_year,Tendance récente,Logement,subsidized_housing,Logements subventionnés,logements,2010,2024,2050,19415,22128,,13.97,,,observed,observed,missing,ocstat_geneva_housing_subsidized,Série observée sans projection politique 2050.
recent_trend_2015_base_year,Tendance récente,Écoles,students,Élèves et étudiants,personnes,2010,2024,2050,102659,121819,167391.8,18.66,63.06,37.41,observed,observed,estimated,ge_education_annuary,Effectifs scolaires; 2050 estimé par tendance si la série est fournie.
recent_trend_2015_base_year,Tendance récente,Écoles,school_classes,Classes scolaires,classes,2010,2024,2050,,5489,6266,,,14.16,missing,estimated,estimated,ge_education_annuary,Classes équivalentes estimées depuis les effectifs et la taille moyenne OFS; 2050 = base estimée + besoin additionnel.
recent_trend_2015_base_year,Tendance récente,Tension,absorption_pressure,Tension d’absorption,points,2010,2024,2050,0,19.75,53.49,19.75,53.49,1.09,observed,estimated,estimated,absorption_pressure_v1,"Indice composite V1: effort d’absorption logement 35%, écoles 20%, santé 20%, transports 25%. L’impact coût correspond à l’écart de tension du scénario par rapport à la tendance actuelle."
recent_trend_2015_base_year,Tendance récente,Aide sociale,social_assistance_spending,Aide sociale économique (Suisse),M CHF,2010,2024,2050,1931.95292,2585.633862,4490.91,33.84,132.45,73.69,official_proxy,official_proxy,estimated,bfs_fibs_social_assistance_ch,Dépenses nettes d’aide sociale économique OFS FIBS Suisse; proxy de croissance en attente de l’export cantonal Genève. 2050 = tendance coût ajustée par l’écart de tension vs tendance actuelle.
recent_trend_2015_base_year,Tendance récente,Aide santé,health_premium_subsidy_cantonal,Subsides maladie cantonaux,M CHF,2010,2024,2050,158.2,447.77,1244.75,183.04,686.82,177.99,observed,observed,estimated,ofsp_health_premium_subsidies;rts_geneva_health_subsidy_reform_2020,"Part cantonale des réductions de primes LAMal; rupture de régime 2020 documentée, 2050 = lissage linéaire 10 ans ajusté par l’écart de tension vs tendance actuelle."
recent_trend_2015_base_year,Tendance récente,Santé,health_cost_per_insured,Coût santé par assuré,CHF/an,2010,2024,2050,3969.8,5762.8,11639.87,45.17,193.21,101.98,observed,observed,estimated,ofsp_dashboard_health_insurance,Coûts annuels par assuré; 2050 = tendance coût ajustée par l’écart de tension vs tendance actuelle.
recent_trend_2015_base_year,Tendance récente,Santé,physicians,Médecins,médecins,2010,2024,2050,,,,,,,missing,missing,missing,ocstat_geneva_health_system,Série médecins historique lacunaire; ne pas confondre avec le besoin additionnel.
